Lenght Mean SEM SD
16000.0 0.1991 0.0006 0.0858
16100.0 0.2000 0.0006 0.0861
16200.0 0.2002 0.0006 0.0859
16300.0 0.1998 0.0005 0.0851
16400.0 0.1997 0.0006 0.0857
16500.0 0.1996 0.0005 0.0852
16600.0 0.1988 0.0006 0.0859
16700.0 0.1992 0.0006 0.0854
16800.0 0.1987 0.0006 0.0857
16900.0 0.1994 0.0005 0.0852
17000.0 0.1998 0.0005 0.0846
17100.0 0.1984 0.0006 0.0857
17200.0 0.1989 0.0006 0.0852
17300.0 0.1986 0.0006 0.0857
17400.0 0.2001 0.0006 0.0852
17500.0 0.1992 0.0006 0.0855
17600.0 0.1988 0.0006 0.0856
17700.0 0.1984 0.0005 0.0852
17800.0 0.1976 0.0006 0.0855
17900.0 0.1986 0.0006 0.0856
18000.0 0.1992 0.0006 0.0853
18100.0 0.1987 0.0006 0.0855
18200.0 0.1984 0.0006 0.0853
18300.0 0.1982 0.0005 0.0851
18400.0 0.1988 0.0006 0.0854
18500.0 0.1985 0.0006 0.0856
18600.0 0.1976 0.0005 0.0850
18700.0 0.1992 0.0005 0.0852
18800.0 0.1987 0.0005 0.0851
18900.0 0.1975 0.0006 0.0853
19000.0 0.1986 0.0005 0.0850
19100.0 0.1981 0.0005 0.0848
19200.0 0.1978 0.0005 0.0849
19300.0 0.1973 0.0005 0.0849
19400.0 0.1976 0.0005 0.0848
19500.0 0.1980 0.0005 0.0844
19600.0 0.1986 0.0005 0.0846
19700.0 0.1987 0.0005 0.0850
19800.0 0.1986 0.0005 0.0848
19900.0 0.1977 0.0005 0.0845
20000.0 0.1975 0.0005 0.0846
